id,author,name,serial_number
490,Art Spiegelman,Maus: A Survivor's Tale : My Father Bleeds History,394541553
491,"P.C. Cast, Kristin Cast",Untamed: A House of Night Novel,312379838
492,Orson Scott Card,Speaker for the Dead,812550757
493,C.S. Lewis,Mere Christianity,684823780
494,Donna Tartt,The Secret History,1400031702
495,Dave Eggers,A Heartbreaking Work of Staggering Genius,375725784
496,Jean M. Auel,The Clan of the Cave Bear,553381679
497,Anna Sewell,Black Beauty,439228905
498,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ,192833987
499,Bret Easton Ellis,American Psycho,679735771
500,Meg Cabot,The Princess Diaries,613371658
501,Alexander McCall Smith,The No. 1 Ladies' Detective Agency ,1400034779
502,"Robert Kirkman, Tony Moore","The Walking Dead, Vol. 1: Days Gone Bye",1582406723
503,Arthur C. Clarke,2001: A Space Odyssey,451457994
504,Francine Rivers,,1590525132
505,"Tim LaHaye, Jerry B. Jenkins",Left Behind:  A Novel of the Earth's Last Days,842342702
506,Kiera Cass,The One,62059998
507,Suzanne Collins,The Hunger Games Box Set,545265355
508,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,805063897
509,Sophie Kinsella,Remember Me?,593053893
510,Robert Jordan,The Great Hunt,812517725
511,Patricia Cornwell,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,743477154
512,Edgar Allan Poe,The Complete Tales of Edgar Allan Poe,385074077
513,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place,553256696
514,Arthur Conan Doyle,The Adventures of Sherlock Holmes,192835084
515,Pat Conroy,The Prince of Tides,553381547
516,Michael Chabon,The Amazing Adventures of Kavalier & Clay,312282990
517,Simone Elkeles,Perfect Chemistry,802798233
518,"J.M. Barrie, Michael Hague",Peter Pan,805072454
519,Scott Westerfeld,Pretties,689865392
520,"Haruki Murakami, Jay Rubin",ねじまき鳥クロニクル [Nejimakidori kuronikuru],965341984
521,Michael Connelly,The Lincoln Lawyer ,739465511
522,David Mitchell,Cloud Atlas,375507256
523,Tim O'Brien,The Things They Carried,767902890
524,Banksy,Wall and Piece,1844137872
525,Lauren Oliver,Pandemonium,006197806X
526,Jeff Lindsay,Darkly Dreaming Dexter,307277887
527,Charlaine Harris,Living Dead in Dallas,1841493007
528,Robert Jordan,The Dragon Reborn ,765305119
529,"Jonathan Swift, Robert DeMaria Jr.",Gulliver’s Travels,141439491
530,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",Much Ado About Nothing,743482751
531,"Unknown, Seamus Heaney",Beowulf,393320979
532,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Batman: Year One,1401207529
533,Harper Lee,Go Set a Watchman,62409859
534,David Sedaris,When You Are Engulfed in Flames,316143472
535,Laini Taylor,Daughter of Smoke & Bone,316134023
536,Victoria Aveyard,Red Queen,1409151174
537,Charles Duhigg,The Power of Habit,1400069289
538,John Berendt,Midnight in the Garden of Good and Evil,679751521
539,Colleen Hoover,Hopeless,1301949825
540,"Frances Hodgson Burnett, Nancy Bond",A Little Princess,142437018
541,Sarah Dessen,The Truth About Forever,142406252
542,C.S. Lewis,The horse and his boy,439861365
543,Richelle Mead,Last Sacrifice ,1595143068
544,"Laura Ingalls Wilder, Garth Williams",Little House on the Prairie,64400026
545,"Margery Williams Bianco, William   Nicholson",The Velveteen Rabbit,380002558
546,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance,60589469
547,"H.G. Wells, Arthur C. Clarke",The War of the Worlds,375759239
548,Sara Shepard,Pretty Little Liars,60887303
549,Don Freeman,Corduroy,670241334
550,Michael Pollan,The Omnivore's Dilemma,1594200823
551,Kate Atkinson,Life After Life,316176486
552,Nicholas Sparks,The Rescue,446696129
553,Stephen King,Needful Things,045057458X
554,Diana Gabaldon,Voyager,385335997
555,"Kenneth Branagh, William Shakespeare",,393315053
556,Stephen King,Cujo,307348245
557,Jeffrey Eugenides,The Virgin Suicides,747560595
558,Charlaine Harris,Dead to the World,441012183
559,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,141439599
560,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Madame Bovary,192840398
561,"Norton Juster, Jules Feiffer",The Phantom Tollbooth,394820371
562,Brandon Sanderson,The Way of Kings,765326353
563,Charlaine Harris,Club Dead,1841493015
564,Ned Vizzini,It's Kind of a Funny Story,078685197X
565,Brandon Sanderson,,765316889
566,Jojo Moyes,After You,
567,Vanessa Diffenbaugh,The Language of Flowers,034552554X
568,"Frank Miller, Klaus Janson, Lynn Varley",Batman: The Dark Knight Returns,156389341X
569,James Patterson,The Angel Experiment,446617792
570,Nick Hornby,High Fidelity,1573225517
571,Nicholas Sparks,The Guardian,446696110
572,Margaret Atwood,Oryx and Crake,385721676
573,John Gray,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",60574216
574,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,60899220
575,Michael Crichton,Timeline,99244721
576,Voltaire,Candide,486266893
577,Natalie Babbitt,Tuck Everlasting,374480095
578,"Stephen King, Marie Milpois",Christine,2253147699
579,P.D. Eastman,Are You My Mother?,1713221
580,E.H. Gombrich,The Story of Art,071483355X
581,Marissa Meyer,Scarlet,312642962
582,Robert T. Kiyosaki,"Rich Dad , Poor Dad",751532711
583,Becca Fitzpatrick,Silence ,1442426640
584,Lev Grossman,The Magicians,670020559
585,"Tsugumi Ohba, Takeshi Obata",デスノート #1 (Desu Nōto) Taikutsu (退屈),1421501686
586,Libba Bray,A Great and Terrible Beauty,689875347
587,Jonathan Safran Foer,Everything Is Illuminated,60529709
588,Robert Ludlum,The Bourne Supremacy,752863886
589,Tammara Webber,Easy,425266745
590,"Charles Dickens, Jeremy Tambling",David Copperfield,140439447
591,"Sherman Alexie, Ellen Forney",The Absolutely True Diary of a Part-Time Indian,316013684
592,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Мастер и Маргарита,679760806
593,Ursula K. Le Guin,A Wizard of Earthsea,553383043
594,"Kate DiCamillo, Chris Sheban",Because of Winn-Dixie,763616052
595,John Knowles,A Separate Peace,743253973
596,John Grisham,The Rainmaker,385339607
597,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",Don Quijote de La Mancha,142437239
598,Robin Hobb,Assassin's Apprentice,6480098
599,Douglas Adams,The Restaurant at the End of the Universe,345418921
600,Lauren Kate,Torment,385739141
601,Beatrix Potter,The Tale of Peter Rabbit,723247706
602,"C.S. Lewis, Pauline Baynes",The Silver Chair,64405044
603,Brandon Sanderson,The Hero of Ages,765316897
604,Susanna Kaysen,"Girl, Interrupted",679746048
605,Chelsea Handler,"Are You There, Vodka? It's Me, Chelsea",61173398
606,"Richard Bach, Russell Munson",Jonathan Livingston Seagull,743278909
607,Cassandra Clare,City of Heavenly Fire,1481426303
608,"Robert Munsch, Sheila McGraw",Love You Forever,920668372
609,Stephen King,Cell,1416524517
610,Daniel James Brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,067002581X
611,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",The Silmarillion,618391118
612,Stephen King,The Drawing of the Three,451210859
613,Kate Morton,The Forgotten Garden,330449605
614,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",Der Prozeß,99428644
615,Sarah Dessen,This Lullaby,142501557
616,Jodi Picoult,Plain Truth,743275012
617,Piper Kerman,Orange Is the New Black: My Year in a Women's Prison,385523386
618,"Arthur Conan Doyle, Anne Perry",The Hound of the Baskervilles,451528018
619,Daniel Kahneman,"Thinking, Fast and Slow",374275637
620,Marion Zimmer Bradley,The Mists of Avalon,345350499
621,Judy Blume,"Are You There God? It's Me, Margaret",689841582
622,Nicholas Sparks,Nights in Rodanthe,446612707
623,Stephen King,Mr. Mercedes,1476754454
624,Charlaine Harris,All Together Dead,441014941
625,Chris Bohjalian,Midwives,375706771
626,Chris Van Allsburg,The Polar Express,395389496
627,"Jon Scieszka, Lane Smith",The True Story of the Three Little Pigs,140544518
628,Tom Clancy,Patriot Games,425134350
629,"Paulo Coelho, Margaret Jull Costa",Veronika decide morrer,61124265
630,"Sheryl Sandberg, Nell Scovell","Lean In: Women, Work, and the Will to Lead",385349947
631,Charlaine Harris,Dead as a Doornail ,441013333
632,Tahereh Mafi,"Shatter Me (Shatter Me, #1)",62085484
633,Robert A. Heinlein,Starship Troopers,441783589
634,Sophie Kinsella,I've Got Your Number,385342063
635,"Jostein Gaarder, Paulette Møller",Sofies Verden,1857993284
636,Mark Cotta Vaz,,316134112
637,Ray Bradbury,The Martian Chronicles,553278223
638,Jennifer Egan,A Visit From the Goon Squad,307592839
639,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",Heidi,753454947
640,Michael Crichton,Prey,61015725
641,C.S. Lewis,The Last Battle,7202326
642,Ken Follett,World Without End,525950079
643,"P.C. Cast, Kristin Cast",Chosen: A House of Night Novel,312360304
644,Colleen Hoover,Slammed,
645,Alex Flinn,"Beastly (Beastly, #1, Kendra Chronicles, #1)",60874163
646,"Geoffrey Chaucer, Nevill Coghill",Tales of Caunterbury,140424385
647,Emily Giffin,Baby Proof,312348649
648,Christopher Paolini,Inheritance,375856110
649,"Haruki Murakami, Jay Rubin, Philip Gabriel",いちきゅうはちよん [Ichi-Kyū-Hachi-Yon],307593312
650,Harriet Beecher Stowe,Uncle Tom's Cabin or Life Among the Lowly,1840224029
651,"Gaston Leroux, Alexander Teixeira de Mattos",Le Fantôme de l'Opéra,60809248
652,Charlaine Harris,"Definitely Dead (Sookie Stackhouse, #6)",441014917
653,"José Saramago, Giovanni Pontiero",Ensaio Sobre a Cegueira,156007754
654,Jonathan Franzen,Freedom,374158460
655,Ally Condie,Crossed,142421715
656,Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You",1423100034
657,Aravind Adiga,The White Tiger,1416562591
658,Jonathan Franzen,The Corrections,1841156736
659,Barack Obama,Dreams from My Father,1921351438
660,Michael Crichton,Congo,60541830
661,"Judith Viorst, Ray Cruz","Alexander and the Terrible, Horrible, No Good, Very Bad Day",689711735
662,Jhumpa Lahiri,Interpreter of Maladies,618101365
663,Howard Zinn,A People's History of the United States: 1492 to Present ,60838655
664,Truman Capote,Breakfast at Tiffany's,679745653
665,Justin Cronin,The Passage,345504968
666,Neil Gaiman,Anansi Boys,60515198
667,Sarah Dessen,Along for the Ride,670011940
668,Celeste Ng,Everything I Never Told You,159420571X
669,"Isabel Allende, Magda Bogin",La casa de los espíritus,553383809
670,Stephen King,The Dead Zone,451155750
671,"Agatha Christie, Ροζίτα Σώκου",The Mysterious Affair at Styles,646418432
672,Agatha Christie,Murder in the Calais Coach,425200450
673,Chimamanda Ngozi Adichie,Americanah,307271080
674,James Patterson,Suzanne's Diary for Nicholas,446611085
675,Stephen King,Firestarter,451167805
676,Sylvia Day,Entwined with You,425263924
677,Christopher McDougall,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",307266303
678,Gabrielle Zevin,The Storied Life of A.J. Fikry,1616203218
679,Ludwig Bemelmans,Mad About Madeline,590133373
680,Napoleon Hill,Think and Grow Rich,1585424331
681,"Laura Ingalls Wilder, Garth Williams",Little House In The Big Woods,60885378
682,Susanna Clarke,Jonathan Strange & Mr Norrell,765356155
683,Nicholas Sparks,A Bend in the Road,446696137
684,Rick Riordan,The House of Hades,1423146727
685,Michael  Grant,Gone,61448761
686,Nicholas Sparks,The Wedding,446615862
687,David McCullough,1776,743226720
688,Jon Krakauer,Under the Banner of Heaven: A Story of Violent Faith,330419129
689,Jess Walter,Beautiful Ruins,61928127
690,Barack Obama,The Audacity of Hope: Thoughts on Reclaiming the American Dream,307237699
691,Stephen King,On Writing: A Memoir of the Craft,743455967
692,Kristin Hannah,Firefly Lane,312364083
693,Michael Crichton,Sphere,345418972
694,Emily Giffin,Love the One You're With,312348673
695,"Robert Galbraith, J.K. Rowling",The Silkworm,316206873
696,Anne Rice,The Vampire Lestat,345476883
697,Ann Patchett,State of Wonder,62049801
698,Matthew Quick,The Silver Linings Playbook,374533571
699,"Jules Verne, Anthony Bonner",Vingt Mille Lieues Sous les Mers,076072850X
700,Philippa Gregory,The Constant Princess,743272498
701,"Virginia Woolf, Maureen Howard",Mrs Dalloway,151009988
702,"Jonas Jonasson, Rod Bradbury",Hundraåringen som klev ut genom fönstret och försvann,1843913720
703,Stephen King,Bag of Bones,067102423X
704,John Irving,The Cider House Rules,786226749
705,"Richard Bachman, Stephen King",Thinner,451190750
706,"Jules Verne, Michael Glencross, Brian W. Aldiss",Le tour du monde en quatre-vingts jours,014044906X
707,Sharon Creech,Walk Two Moons,60739495
708,"Paulo Coelho, Margaret Jull Costa",Onze minutos,60589280
709,J.D. Salinger,Nine Stories,316767727
710,Julie Powell,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",031610969X
711,Neal Shusterman,Unwind,1416912045
712,Diana Gabaldon,"Drums of Autumn (Outlander, #4)",385335989
713,Marie Lu,Prodigy,399256768
714,William Shakespeare,The Tragedie of King Lear,074348276X
715,Arthur Miller,Death of a Salesman,435233076
716,Nicholas Sparks,The Choice,446579920
717,Kate Egan,,545422906
718,William Faulkner,The Sound and the Fury,
719,Eckhart Tolle,A New Earth: Awakening to Your Life's Purpose,452287588
720,Tite Kubo,BLEACH―ブリーチ―　1,1591164419
721,Allie Brosh,,1451666179
722,Robert Jordan,The Shadow Rising ,812513738
723,Gregory David Roberts,Shantaram,192076920X
724,Charlaine Harris,From Dead to Worse,441015891
725,"Stephen King, Ned Dameron",The Waste Lands,670032565
726,Jeffery Deaver,The Bone Collector,451188454
727,"Bernhard Schlink, Carol Brown Janeway",Der Vorleser,375408266
728,"Bill Martin Jr., Eric Carle","Brown Bear, Brown Bear, What Do You See?",805047905
729,Dan Simmons,Hyperion,553283685
730,John Steinbeck,The Pearl of the World,142000698
731,William Peter Blatty,The Exorcist,61007226
732,Stephenie Meyer,The Short Second Life of Bree Tanner,031612558X
733,David Guterson,Snow Falling on Cedars,067976402X
734,Alex Haley,Roots,440174643
735,"Alan Moore, Brian Bolland, Tim Sale",Batman: The Killing Joke ,930289455
736,Ralph Ellison,Invisible Man,679732764
737,Ishmael Beah,A Long Way Gone. Memoirs of a Boy Soldier,374105235
738,Robert C. O'Brien,Mrs. Frisby and the Rats of NIMH,689862202
739,Stephen King,Different Seasons,751514624
740,"Laura Ingalls Wilder, Garth Williams",The Little House Collection,60529962
741,Melissa Bank,The Girls' Guide to Hunting and Fishing,143035479
742,Hugh Howey,Wool Omnibus,
743,Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",380813815
744,Eckhart Tolle,The Power of Now,1577314808
745,Jenny  Lawson,Let's Pretend This Never Happened (A Mostly True Memoir),399159010
746,Scott Lynch,The Lies of Locke Lamora,553804677
747,Garth Nix,Sabriel,64471837
748,Charlaine Harris,Dead and Gone,441017150
749,Jodi Picoult,The Storyteller,1439102767
750,Jennifer L. Armentrout,Obsidian,1620610078
751,Douglas Adams,"Life, the Universe and Everything",345418905
752,Sarah J. Maas,Crown of Midnight,1619630621
753,Bryan Lee O'Malley,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",1932664084
754,Jeannette Walls,Half Broke Horses: A True Life Novel,1416586288
755,Terry Pratchett,Mort,61020680
756,Julie Kagawa,"The Iron King (The Iron Fey, #1) ",373210086
757,Larry McMurtry,Lonesome Dove,067168390X
758,Mary Roach,Stiff: The Curious Lives of Human Cadavers,393324826
759,Richelle Mead,Bloodlines,1595143173
760,Orson Scott Card,Ender's Shadow,765342405
761,Sophie Kinsella,Twenties Girl,385342020
762,Thomas Keneally,Schindler's Ark,340606517
763,Toni Morrison,The Bluest Eye,452287065
764,Philippa Gregory,The White Queen,1416563687
765,"Malcolm X, Alex Haley",The Autobiography of Malcolm X,345350685
766,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",Preludes & Nocturnes,1563892278
767,Laura Hillenbrand,Seabiscuit,345465083
768,Dennis Lehane,Shutter Island,038073186X
769,Arthur Conan Doyle,The Complete Sherlock Holmes,553328255
770,"William Shakespeare, Roma Gill",The Tragedy of Julius Caesar,198320272
771,Erik Larson,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",307408841
772,"Plato, Desmond Lee",Πολιτεία,140449140
773,William Shakespeare,The Taming of the Shrew,074347757X
774,Marissa Meyer,Cress,312642970
775,Patti Smith,Just Kids,006621131X
776,Phaidon Press,,714836257
777,Jane Green,Jemima J,767905180
778,"Victor Hugo, Walter J. Cobb",Notre-Dame de Paris,451527887
779,Rohinton Mistry,A Fine Balance,140003065X
780,"Bill Watterson, G.B. Trudeau",Calvin and Hobbes,836220889
781,Scott Westerfeld,Specials,689865406
782,Kate Chopin,The Awakening,543898083
783,"P.C. Cast, Kristin Cast",Hunted,031237982X
784,Mitch Albom,For One More Day,1401303277
785,Tom Clancy,Clear and Present Danger,425144372
786,Shel Silverstein,Falling Up,60513098
787,Justin Halpern,Sh*t My Dad Says,61992704
